"","income","height","weight","age","marital","sex","education","afqt"
"252",0,66,150,54,"single","male",11,32.899
"253",0,67,165,51,"separated","male",11,22.233
"254",0,62,180,48,"divorced","female",9,13.26
"255",0,73,260,55,"separated","male",11,10.471
"256",115000,74,225,54,"single","male",12,49.149
"257",28800,60,147,53,"divorced","female",12,11.672
"258",46000,62,148,51,"married","female",12,39.687
"259",0,73,160,49,"single","male",12,5.552
"260",70000,61,240,50,"single","female",15,78.241
"261",54000,66,160,49,"divorced","female",12,23.959
"262",52000,72,230,52,"married","male",12,93.142
"263",78000,71,232,50,"married","male",14,76.768
"264",700,71,170,52,"single","male",11,6.294
"265",10000,62,157,50,"divorced","female",14,43.91
"266",0,76,230,49,"divorced","male",11,19.013
"267",0,72,320,54,"single","male",10,17.477
"268",75000,64,160,55,"divorced","female",17,66.314
"269",69000,65,140,51,"married","female",16,100
"270",19000,62,185,51,"married","female",12,24.833
"271",21000,64,125,54,"married","female",12,24.406
"272",0,72,230,56,"married","male",7,3.253
"273",35000,60,115,53,"married","female",14,16.239
"274",14000,65,155,49,"married","male",14,43.726
"275",101000,65,140,49,"married","female",18,45.758
"276",76000,74,220,51,"married","male",12,85.102
"277",140000,70,185,54,"married","male",16,90.513
"278",32000,71,260,51,"married","male",12,68.615
"279",0,72,200,49,"divorced","male",10,18.169
"280",25000,62,120,48,"married","female",14,73.351
"281",68000,70,210,50,"married","male",10,9.537
"282",0,66,150,55,"married","female",18,53.109
"283",60000,72,205,52,"married","male",13,55.338
"284",13500,67,170,49,"married","female",13,60.767
"285",34500,67,200,49,"divorced","male",12,48.516
"286",35000,67,160,48,"married","male",16,66.045
"287",30000,67,183,54,"married","male",19,99.379
"288",105000,61,109,53,"married","female",17,NA
"289",19000,64,195,55,"divorced","female",12,39.354
"290",80000,74,225,55,"married","male",12,27.838
"291",42000,63,213,52,"married","female",14,78.081
"292",95000,72,200,49,"divorced","male",12,65.734
"293",19000,60,155,49,"married","female",12,68.679
"294",21000,64,NA,55,"married","female",12,71.472
"295",35000,59,165,49,"divorced","female",12,79.95
"296",88000,65,184,51,"married","female",16,75.485
"297",19000,63,175,55,"married","female",12,64.195
"298",49000,70,175,51,"married","male",14,97.365
"299",5000,66,187,51,"married","female",16,80.238
"300",100,74,265,48,"married","male",16,93.639
"301",17000,62,200,52,"married","female",12,47.638
"302",41000,64,230,48,"married","female",18,55.829
"303",43000,64,110,53,"married","female",19,94.516
"304",71353,68,200,54,"single","male",18,48.986
"305",60000,69,200,52,"divorced","male",16,78.555
"306",82000,67,225,51,"married","female",18,86.548
"307",40000,64,130,49,"married","female",20,85.905
"308",28000,66,180,50,"single","female",15,31.254
"309",85000,67,160,51,"divorced","male",16,90.491
"310",50000,69,226,52,"married","female",18,95.252
"311",65000,71,200,53,"married","male",14,79.33
"312",5000,66,143,49,"married","female",12,85.844
"313",38000,72,220,55,"married","male",16,NA
"314",0,60,110,52,"married","female",16,95.508
"315",158000,66,140,54,"married","male",16,90.968
"316",0,72,240,51,"single","male",11,11.35
"317",0,67,188,53,"married","female",12,28.506
"318",4000,66,125,50,"divorced","female",11,29.752
"319",28000,71,155,52,"single","male",12,NA
"320",32000,64,140,51,"divorced","female",12,40.756
"321",8000,64,145,48,"divorced","female",12,20.137
"322",20000,62,135,48,"married","female",12,NA
"323",11000,72,225,49,"divorced","male",12,32.913
"324",0,65,185,52,"married","female",12,51.719
"325",106000,73,218,49,"married","male",16,76.189
"326",55000,70,190,55,"married","male",19,51.896
"327",120000,75,290,54,"married","male",19,93.653
"328",343830,74,190,53,"married","male",16,77.991
"329",110000,68,190,55,"married","male",12,47.109
"330",30000,69,170,51,"separated","male",12,13.303
"331",12000,63,105,50,"married","female",12,8.229
"332",343830,69,205,49,"married","male",12,50.498
"333",75000,71,210,49,"married","male",13,56.47
"334",60000,73,195,51,"married","male",15,59.586
"335",28000,64,140,51,"married","female",12,54.285
"336",32000,71,310,48,"married","male",14,73.292
"337",33200,67,165,52,"divorced","female",17,69.07
"338",56000,68,200,49,"single","female",18,92.866
"339",69000,69,205,55,"married","male",12,NA
"340",49000,62,160,51,"married","female",14,39.163
"341",75000,63,175,49,"married","female",16,64.295
"342",55000,65,187,49,"married","female",19,78.966
"343",103000,71,175,52,"divorced","male",14,71.792
"344",0,66,175,51,"married","female",12,56.773
"345",0,61,115,49,"married","female",10,19.412
"346",0,71,229,53,"single","male",12,26.498
"347",5443,64,240,52,"single","female",16,43.741
"348",0,67,200,51,"married","female",14,70.767
"349",70000,67,160,51,"married","male",14,51.831
"350",0,62,117,49,"single","female",12,11.503
"351",0,62,120,51,"single","male",11,5.25
"352",13000,69,150,50,"single","male",11,3.292
"353",0,68,168,49,"single","male",12,15.956
"354",10000,61,150,49,"single","female",11,2.837
"355",87000,72,210,54,"married","male",16,26.381
"356",60000,69,207,52,"single","male",16,37.473
"357",62000,71,202,49,"married","male",14,23.333
"358",75000,63,NA,55,"divorced","female",13,61.184
"359",136000,64,150,49,"divorced","female",11,30.237
"360",0,64,130,55,"married","female",9,5.291
"361",0,67,210,55,"married","male",10,5.935
"362",7000,60,180,53,"married","female",14,55.185
"363",54000,66,148,48,"married","male",12,0.982
"364",0,66,215,51,"single","female",10,3.052
"365",0,68,200,49,"single","male",12,1.356
"366",32000,69,205,50,"divorced","male",10,23.134
"367",0,66,225,51,"married","female",12,NA
"368",0,71,218,53,"divorced","male",12,21.108
"369",35000,67,187,52,"married","female",12,23.501
"370",10000,60,126,48,"married","female",11,28.073
"371",65000,69,235,55,"married","male",11,45.744
"372",22000,66,215,50,"married","female",12,72.071
"373",23000,69,175,51,"married","male",12,42.319
"374",850,67,170,54,"married","female",12,81.039
"375",45000,75,200,51,"married","male",16,99.154
"376",114000,76,240,48,"married","male",18,91.427
"377",3500,71,150,52,"separated","male",12,NA
"378",17000,65,122,53,"married","female",17,99.324
"379",47000,64,140,49,"married","female",18,83.317
"380",120000,70,220,52,"married","male",16,95.07
"381",52000,63,175,53,"single","male",14,62.344
"382",60000,61,230,53,"single","female",17,76.633
"383",80000,69,180,50,"married","male",18,64.432
"384",90000,67,153,52,"single","male",12,35.041
"385",15000,67,155,49,"married","female",14,49.801
"386",48000,65,115,51,"married","female",12,54.083
"387",120000,67,225,49,"married","male",16,100
"388",60000,75,285,48,"married","male",13,75.727
"389",60000,72,140,51,"married","male",17,69.447
"390",17000,67,190,51,"married","female",18,86.676
"391",5200,68,151,49,"married","female",12,72.569
"392",84000,60,130,54,"divorced","female",16,91.677
"393",54100,71,141,55,"married","male",15,73.326
"394",0,61,150,49,"married","female",10,25.699
"395",40000,66,196,51,"married","female",13,6.771
"396",38000,74,220,51,"separated","male",12,NA
"397",0,63,180,55,"separated","female",13,26.44
"398",30000,73,185,49,"married","male",13,53.342
"399",0,69,143,50,"single","male",11,2.826
"400",30000,64,180,50,"married","female",15,62.762
"401",54000,72,245,49,"married","male",12,56.187
"402",70000,74,275,48,"married","male",13,72.782
"403",37000,63,190,52,"married","female",16,88.693
"404",42000,64,300,51,"divorced","female",14,45.803
"405",65000,64,130,53,"married","female",19,73.742
"406",0,66,150,54,"single","female",16,48.877
"407",70000,68,170,50,"divorced","male",12,35.747
"408",85000,61,140,55,"married","female",18,15.699
"409",0,59,180,51,"married","female",11,16.768
"410",38000,62,112,55,"divorced","female",12,47.764
"411",70000,74,220,54,"married","male",12,0.742
"412",34000,66,185,52,"separated","female",11,2.528
"413",31000,64,200,48,"married","female",14,52.674
"414",0,61,195,51,"divorced","female",14,12.509
"415",70000,70,230,50,"married","male",17,30.312
"416",0,74,175,54,"married","male",12,4.862
"417",0,72,250,54,"divorced","female",10,22.311
"418",0,69,186,55,"separated","female",12,88.779
"419",0,65,187,48,"divorced","male",12,2.853
"420",47500,74,360,51,"married","male",10,3.363
"421",15000,73,260,49,"married","male",8,7.666
"422",28000,70,165,54,"married","male",11,22.379
"423",25000,65,190,52,"married","female",9,1.31
"424",0,66,135,55,"married","female",12,57.954
"425",38000,62,210,51,"divorced","female",12,34.526
"426",80000,65,140,51,"married","male",12,52.167
"427",46000,68,140,49,"divorced","male",12,60.396
"428",56000,66,215,49,"married","female",12,77.715
"429",7000,68,230,50,"divorced","male",11,8.596
"430",0,63,130,50,"married","female",12,36.216
"431",343830,72,190,54,"married","male",20,90.12
"432",343830,74,187,51,"married","male",16,86.137
"433",0,61,120,49,"single","female",12,1.79
"434",60000,70,185,52,"married","male",13,43.472
"435",12000,62,140,49,"divorced","female",12,43.275
"436",100000,70,190,55,"married","male",17,85.54
"437",43000,68,170,51,"divorced","female",16,77.736
"438",97850,68,155,53,"divorced","male",18,90.095
"439",18000,68,185,48,"married","female",14,92.083
"440",0,63,133,52,"married","female",16,48.905
"441",0,63,124,48,"married","female",19,87.226
"442",0,73,220,55,"divorced","male",12,NA
"443",75000,74,217,54,"married","male",12,39.786
"444",43000,68,280,50,"married","female",12,70.5
"445",60000,69,270,52,"widowed","female",17,47.912
"446",0,61,NA,48,"married","female",16,59.991
"447",300,63,150,52,"single","male",12,6.845
"448",105000,69,190,48,"married","male",14,70.912
"449",45000,59,110,48,"married","female",14,25.253
"450",35000,70,175,52,"married","male",12,79.232
"451",0,66,180,52,"married","female",18,89.419
"452",40000,68,200,50,"married","male",16,79.303
"453",0,68,230,49,"widowed","male",18,65.315
"454",0,74,311,52,"married","male",12,NA
"455",48000,69,220,51,"married","male",12,2.926
"456",0,84,186,49,"single","male",11,3.663
"457",15000,72,205,48,"married","male",12,2.25
"458",30600,65,187,50,"married","female",13,47.975
"459",35000,72,235,51,"married","male",12,18.326
"460",9000,68,265,54,"married","male",12,8.563
"461",0,71,245,51,"married","male",12,6.381
"462",55000,64,230,51,"divorced","female",18,45.808
"463",0,72,255,53,"married","male",12,29.001
"464",0,69,240,50,"single","male",12,55.366
"465",76000,72,235,49,"married","male",18,79.313
"466",40000,68,188,52,"single","male",12,88.752
"467",30000,62,NA,49,"divorced","female",14,41.58
"468",44000,70,160,50,"divorced","male",13,72.907
"469",40000,64,175,50,"divorced","female",14,36.055
"470",50000,70,200,55,"married","male",12,14.729
"471",12000,66,130,54,"widowed","female",15,18.419
"472",0,68,94,52,"single","male",8,10.566
"473",500,69,146,51,"divorced","male",9,31.226
"474",22000,68,150,50,"divorced","female",15,40.97
"475",40000,72,185,54,"married","female",14,46.092
"476",0,62,110,55,"divorced","female",15,24.382
"477",50000,74,250,51,"divorced","male",14,31.469
"478",0,63,200,52,"divorced","female",12,11.809
"479",2700,69,193,51,"divorced","male",10,26.594
"480",45000,73,290,51,"single","male",12,38.582
"481",49000,63,140,53,"married","female",14,80.637
"482",12000,67,280,48,"separated","male",10,26.688
"483",28000,72,180,53,"married","male",12,16.55
"484",0,70,185,51,"single","male",12,15.84
"485",42000,75,200,50,"married","male",12,30.429
"486",65000,68,215,53,"married","male",12,6.818
"487",23000,61,180,51,"divorced","female",12,36.158
"488",24000,62,128,50,"married","female",12,24.725
"489",25000,63,160,50,"widowed","female",12,26.792
"490",23000,66,140,51,"married","female",15,78.513
"491",83000,69,195,49,"married","male",18,97.319
"492",34000,72,192,47,"divorced","male",12,20.133
"493",343830,68,170,53,"married","male",12,69.855
"494",0,72,190,52,"married","male",16,70.604
"495",40000,70,200,55,"divorced","male",12,46.018
"496",40000,68,225,53,"married","male",12,51.017
"497",36500,67,140,49,"married","female",12,27.489
"498",46700,73,172,51,"divorced","male",11,21.568
"499",86000,70,190,49,"married","male",9,19.153
"500",0,65,145,54,"married","female",12,28.461
"501",0,65,190,50,"divorced","female",14,91.432
"502",130000,73,210,54,"married","male",18,64.45
"503",0,68,145,52,"married","female",18,80.579
"504",13000,67,150,53,"widowed","female",14,2.203
"505",41000,60,170,55,"married","female",12,31.508
"506",49000,64,162,51,"married","female",14,65.278
"507",36000,73,190,49,"single","male",12,70.368
"508",0,69,180,52,"divorced","female",12,23.929
"509",74115,69,235,49,"single","male",14,28.746
"510",120000,67,144,55,"divorced","female",18,80.463
"511",0,71,175,53,"married","male",12,26.159
"512",32000,64,184,51,"married","female",12,54.906
"513",33000,63,222,48,"divorced","female",12,20.084
"514",67000,70,175,51,"married","female",18,31.118
"515",28000,66,145,53,"separated","female",12,11.905
"516",0,69,235,52,"divorced","female",12,13.144
"517",0,65,210,53,"married","female",14,55.614
"518",80000,65,250,52,"married","male",12,48.786
"519",37000,70,210,50,"divorced","male",12,34.18
"520",0,60,167,49,"divorced","female",16,31.809
"521",7000,62,138,50,"married","female",12,75.744
"522",0,70,150,52,"single","male",12,34.236
"523",35000,62,100,51,"divorced","female",11,31.921
"524",90000,72,217,52,"divorced","male",14,52.482
"525",20000,62,110,54,"married","female",16,66.148
"526",140000,69,175,51,"married","male",16,97.088
"527",78000,74,165,50,"married","male",16,79.85
"528",74000,72,225,48,"married","male",20,89.794
"529",0,70,170,48,"divorced","female",14,60.353
"530",38000,69,175,48,"single","male",12,49.537
"531",50000,62,173,53,"married","female",12,42.361
"532",0,67,115,49,"single","male",12,83.138
"533",10000,63,170,52,"divorced","female",16,28.537
"534",7500,73,200,54,"single","male",15,61.347
"535",80000,68,190,52,"married","male",16,94.119
"536",167000,72,310,51,"married","male",12,68.375
"537",0,64,118,50,"married","female",12,35.662
"538",67000,74,230,49,"married","male",12,34.051
"539",69000,70,195,52,"divorced","male",14,32.078
"540",23000,65,252,52,"married","female",16,25.324
"541",30000,72,230,50,"married","male",12,17.362
"542",0,68,150,50,"married","female",12,78
"543",18000,69,215,48,"divorced","female",14,40.982
"544",75000,74,235,50,"married","male",16,76.332
"545",134000,61,139,53,"married","female",16,91.719
"546",19000,63,200,53,"married","female",15,63.642
"547",38500,66,158,52,"married","female",16,86.99
"548",36000,71,160,53,"married","male",16,85.915
"549",30000,64,230,54,"divorced","female",12,19.541
"550",121000,78,270,48,"married","male",16,81.325
"551",0,65,193,55,"married","male",14,35.569
"552",123000,62,155,51,"married","female",17,49.039
"553",0,65,120,54,"divorced","female",18,99.18
"554",60000,70,180,54,"married","male",17,89.264
"555",343830,70,150,52,"married","male",20,92.042
"556",0,68,140,51,"divorced","female",14,16.956
"557",100000,65,190,55,"divorced","female",20,38.888
"558",0,61,160,52,"married","female",12,29.68
"559",20000,72,240,50,"separated","male",12,38.997
"560",32000,70,225,48,"married","male",12,3.311
"561",25000,62,190,52,"divorced","female",12,13.045
"562",16000,66,190,49,"married","female",12,25.338
"563",0,60,120,52,"divorced","female",14,34.921
"564",0,69,200,49,"single","male",12,13.781
"565",0,64,180,53,"married","female",15,4.208
"566",33500,64,NA,54,"widowed","female",12,57.519
"567",21000,60,130,50,"separated","female",12,34.453
"568",0,68,180,49,"married","male",12,36.845
"569",0,68,275,51,"divorced","female",12,20.86
"570",80000,68,170,54,"married","male",14,22.976
"571",26000,66,195,54,"divorced","female",12,32.304
"572",22000,62,215,52,"single","female",12,36.881
"573",86000,68,195,50,"married","male",13,82.62
"574",46200,72,170,52,"married","male",12,55.782
"575",0,63,140,53,"divorced","female",12,28.681
"576",30000,62,185,50,"married","female",12,50.954
"577",0,64,140,53,"married","female",12,61.777
"578",28000,67,160,52,"divorced","female",13,83.737
"579",46000,63,117,50,"divorced","female",14,47.207
"580",56000,72,195,51,"divorced","male",12,23.25
"581",36000,67,145,51,"married","male",12,69.283
"582",32000,62,160,50,"single","female",12,49.173
"583",35000,61,160,53,"married","female",11,41.383
"584",75000,70,195,53,"married","male",12,38.088
"585",36000,62,120,49,"divorced","female",12,27.315
"586",42000,71,210,51,"divorced","male",16,91.6
"587",107000,71,225,48,"married","male",12,70.262
"588",140000,71,240,52,"married","male",16,71.872
"589",116000,68,185,49,"married","male",18,94.976
"590",35000,70,180,50,"married","male",18,NA
"591",58000,65,128,48,"married","female",20,79.765
"592",0,64,178,55,"married","female",18,NA
"593",111000,70,185,52,"married","male",16,80.898
"594",35000,72,200,50,"married","male",18,64.498
"595",42000,64,165,48,"single","female",16,75.516
"596",34733,67,130,54,"married","female",18,98.089
"597",100,70,250,50,"single","male",20,81.33
"598",94000,66,135,51,"married","female",18,92.741
"599",78500,63,185,52,"married","female",19,56.311
"600",60000,72,180,55,"married","male",12,21.826
